timestamp,interval,data,direction,jitter
1755183556.449853,0.00995492935180664,00DC050000,T,7.390975952148438e-05
1755183556.459923,0.010070085525512695,00DC050000,T,0.00011515617370605469
1755183556.469867,0.009943962097167969,00DC050000,T,0.00012612342834472656
1755183556.47987,0.010003089904785156,00DC050000,T,5.91278076171875e-05
1755183556.489952,0.010082006454467773,00DC050000,T,7.891654968261719e-05
1755183556.499959,0.010006904602050781,00DC050000,T,7.510185241699219e-05
1755183556.509855,0.009896039962768555,00DC050000,T,0.00011086463928222656
1755183556.519921,0.010066032409667969,00DC050000,T,0.00016999244689941406
1755183556.52979,0.009868860244750977,00DC050000,T,0.0001971721649169922
1755183556.539957,0.010167121887207031,00DC050000,T,0.0002982616424560547
1755183556.549842,0.009884834289550781,00DC050000,T,0.00028228759765625
1755183556.560061,0.010219097137451172,00DC050000,T,0.0003342628479003906
1755183556.570051,0.00998997688293457,00DC050000,T,0.00022912025451660156
1755183556.580076,0.0100250244140625,00DC050000,T,3.504753112792969e-05
1755183556.590051,0.009974956512451172,00DC050000,T,5.0067901611328125e-05
1755183556.600049,0.009998083114624023,00DC050000,T,2.3126602172851562e-05
1755183556.610064,0.010015010833740234,00DC050000,T,1.6927719116210938e-05
1755183556.619994,0.009929895401000977,00DC050000,T,8.511543273925781e-05
1755183556.629944,0.00995016098022461,00DC050000,T,2.0265579223632812e-05
1755183556.639864,0.009919881820678711,00DC050000,T,3.0279159545898438e-05
1755183556.649954,0.010090112686157227,00DC050000,T,0.00017023086547851562
1755183556.659862,0.009907960891723633,00DC050000,T,0.00018215179443359375
1755183556.669847,0.009984970092773438,00DC050000,T,7.700920104980469e-05
1755183556.679878,0.010030984878540039,00DC050000,T,4.601478576660156e-05
1755183556.689884,0.010005950927734375,00DC050000,T,2.5033950805664062e-05
1755183556.699887,0.010003089904785156,00DC050000,T,2.86102294921875e-06
1755183556.709854,0.009966850280761719,00DC050000,T,3.62396240234375e-05
1755183556.719846,0.009992122650146484,00DC050000,T,2.5272369384765625e-05
1755183556.729884,0.010037899017333984,00DC050000,T,4.57763671875e-05
1755183556.739857,0.00997304916381836,00DC050000,T,6.4849853515625e-05
1755183556.749835,0.009978055953979492,00DC050000,T,5.0067901611328125e-06
1755183556.759818,0.009983062744140625,00DC050000,T,5.0067901611328125e-06
1755183556.769911,0.010092973709106445,00DC050000,T,0.00010991096496582031
1755183556.779888,0.009976863861083984,00DC050000,T,0.00011610984802246094
1755183556.7899,0.010012149810791016,00DC050000,T,3.528594970703125e-05
1755183556.799953,0.010052919387817383,00DC050000,T,4.076957702636719e-05
1755183556.80985,0.009896993637084961,00DC050000,T,0.00015592575073242188
1755183556.820045,0.010195016860961914,00DC050000,T,0.0002980232238769531
1755183556.829891,0.009845972061157227,00DC050000,T,0.0003490447998046875
1755183556.839866,0.009974956512451172,00DC050000,T,0.0001289844512939453
1755183556.849884,0.010018110275268555,00DC050000,T,4.315376281738281e-05
1755183556.859878,0.009994029998779297,00DC050000,T,2.4080276489257812e-05
1755183556.869837,0.009958982467651367,00DC050000,T,3.504753112792969e-05
1755183556.879874,0.010036945343017578,00DC050000,T,7.796287536621094e-05
1755183556.889842,0.009968042373657227,00DC050000,T,6.890296936035156e-05
1755183556.899948,0.01010584831237793,00DC050000,T,0.00013780593872070312
1755183556.909892,0.00994420051574707,00DC050000,T,0.00016164779663085938
1755183556.919869,0.009976863861083984,00DC050000,T,3.266334533691406e-05
1755183556.929888,0.010019063949584961,00DC050000,T,4.220008850097656e-05
1755183556.939889,0.010000944137573242,00DC050000,T,1.811981201171875e-05
1755183556.949886,0.009997129440307617,00DC050000,T,3.814697265625e-06
1755183556.959883,0.009996891021728516,00DC050000,T,2.384185791015625e-07
1755183556.969805,0.009922027587890625,00DC050000,T,7.486343383789062e-05
1755183556.979815,0.010010004043579102,00DC050000,T,8.797645568847656e-05
1755183556.989887,0.010071992874145508,00DC050000,T,6.198883056640625e-05
1755183556.999867,0.009979963302612305,00DC050000,T,9.202957153320312e-05
1755183557.009878,0.010010957717895508,00DC050000,T,3.0994415283203125e-05
1755183557.019783,0.009905099868774414,00DC050000,T,0.00010585784912109375
1755183557.029823,0.010040044784545898,00DC050000,T,0.00013494491577148438
1755183557.039894,0.010071039199829102,00DC050000,T,3.0994415283203125e-05
1755183557.049815,0.009920835494995117,00DC050000,T,0.00015020370483398438
1755183557.059886,0.010071039199829102,00DC050000,T,0.00015020370483398438
1755183557.069896,0.010010004043579102,00DC050000,T,6.103515625e-05
1755183557.079807,0.009911060333251953,00DC050000,T,9.894371032714844e-05
1755183557.089893,0.0100860595703125,00DC050000,T,0.00017499923706054688
